id,name,courtesy_name,style_name,dynasty_tier,dynasty_tiers,dynasty,birth_year,death_year,index_year,category,degree
35063,王士禎,子真、貽上,信古堂、半偈閣、古夫子亭、帶經堂、得樹堂、慎墨堂、抱山堂、樵唱軒、池北書庫、淸寤齋、漁洋山人、睡足軒、石帆亭、落箋堂、蠶尾山房、阮亭,清,清、明,清,1634,1711,1634,文學家,4
35141,姚燧,端甫,牧庵,元,元、宋,元,1238,1313,1238,文學家,14
54115,袁枚,子才、簡齋,倉山雲舍、存齋、小倉山房、小眠齋、所好軒、碧腴齋、綠曉閣、綠靜軒、隨園、隨園老人,清,清,清,1716,1797,1716,文人,1
56535,姚希孟,孟長,吳中三孟、現聞、閏生道人,明,明,明,1579,1636,1579,文學家,6
65933,戴震,慎修、東原,杲谿,清,清,清,1723,1777,1723,文人,8
66032,朱彜尊,秀鬯、錫鬯,南書房舊講官、古藤書屋、夕陽芳草村落、娛老軒、小長蘆釣魚師、惸獨叟、新儒齋、新愞齋、曝書亭、棗香書屋、潛采堂、石樓、竹垞、茶煙閣、藕蕩漁人、藤花書屋、醧舫、醧舫齋、金風亭長、靜志居、鷗舫,清,清、明,清,1629,1709,1629,文學家,4
66729,楊寓,士奇,東里、西陽先生,明,明、元,明,1364,1444,1364,文學家,8
68547,徐階,子升,存齋、少湖,明,明,明,1503,1583,1503,文學家,46
69011,張居正,叔大、時大,太岳、太嶽、純忠堂,明,明,明,1525,1582,1525,文學家,20
92047,王建,仲初,,隋唐,隋唐,唐,766,,766,文學家,19
92328,盧綸,允言,,隋唐,隋唐,唐,,,747,文學家,6
92743,許渾,仲誨、用誨,,隋唐,隋唐,唐,791,,791,文學家,10
93103,李端,正己,,隋唐,隋唐,唐,,786,723,文學家,10
93476,張祜,承吉,,隋唐,隋唐,唐,792,853,792,文學家,14
93608,陳叔達,子聰,,魏晋南北朝,魏晋南北朝、隋唐,陳,,635,572,文學家,2
93832,鄭谷,守愚,,隋唐,隋唐,唐,851,,851,文學家,12
93952,孟郊,東野,,隋唐,隋唐,唐,751,814,751,文學家,22
94109,皇甫冉,茂政,,隋唐,隋唐,唐,717,770,717,文學家,14
94160,姚合,大凝,,隋唐,隋唐,唐,781,846,781,文學家,17
94183,釋貫休,德隱,,隋唐,隋唐,唐,832,912,832,文學家,16
94227,賈島,浪仙、閬仙,,隋唐,隋唐,唐,779,843,779,文學家,23
94271,錢起,仲文,,隋唐,隋唐,唐,710,782,710,文學家,12
94595,釋皎然,淸晝,,隋唐,隋唐,唐,,,,文學家,14
99984,歐陽德,崇一,南野,明,明,明,1496,1554,1496,文學家,34
123973,申時行,汝默,休休居士、瑤泉、蘇菴主人,明,明,明,1535,1614,1535,文學家,16
127987,李維楨,本寍、本寧,士安、翼軒,明,明,明,1547,1626,1547,文學家,20
128983,姜寶,廷善、惟善,鳳阿,明,明,明,1514,1593,1514,文學家,30
131191,湛若水,元明、元易,增城先生、甘泉、甘泉先生,明,明,明,1466,1560,1466,文學家,35
131392,黃承玄,履常,與參,明,明,明,,,1556,文學家,6
131951,葉向高,進卿,臺山,明,明,明,1559,1627,1559,文學家,10
134598,王霸,,,秦汉,秦汉,秦漢,,,,文人,1
134599,令狐子伯,,,秦汉,秦汉,秦漢,,,,文人,1
134611,張雨,,,秦汉,秦汉,東漢,,,,文化名人,2
134628,某氏(恭伯姬傅母),,,春秋战国,春秋战国,漢前,,,,名門士族,2
134865,衛鑠,,,魏晋南北朝,魏晋南北朝,東晉,272,349,272,文化名人,2
135502,姬氏(子瑕妻),,,春秋战国,春秋战国,漢前,,,,名門士族,2
146237,戴叔倫,幼公、次公,,隋唐,隋唐,唐,732,789,732,文學家,16
339321,謝夷吾,堯卿,,秦汉,秦汉,秦漢,,,,文化名人,2
339324,紫玉,,,春秋战国,春秋战国,漢前,,,,政治家,2
339325,韓重,,,春秋战国,春秋战国,漢前,,,,政治家,2
439186,嵇康,叔夜,嵇中散,魏晋南北朝,魏晋南北朝,三國,224,263,224,文人,1
439189,許慎,叔重,許洨長、許祭酒,秦汉,秦汉,秦漢,30,124,30,學者,7
511101,呂步舒,,,秦汉,秦汉,西漢,,,,學者,2
511181,孟生,,,秦汉,秦汉,秦漢,,,,學者,2
511209,尹珍,,,秦汉,秦汉,秦漢,,,,學者,2
511397,李喜,,,秦汉,秦汉,秦漢,,,,學者,2
511502,段仲溫,,,秦汉,秦汉,西漢,,,,學者,2
