source,target,type,subtype,direction,source_text,source_pages,year,assoc_code
93832,3915,唱和,贈詩、文,A,唐五代人交往詩索引,1484,,437
93832,17029,唱和,贈詩、文,A,唐五代人交往詩索引,1480,,437
93832,32540,唱和,贈詩、文,A,唐五代人交往詩索引,1483,,437
93832,94227,唱和,贈詩、文,A,唐五代人交往詩索引,1481,,437
93832,94595,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,394,,438
93832,146237,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,1002,,438
93952,94227,好友,友,M,人名權威資料（中央研究院歷史語言研究所）,18538,,9
93952,3332,唱和,墓誌銘由Y所作,P,韓昌黎文集校注,,815,43
93952,32822,唱和,贈詩、文,A,唐五代人交往詩索引,335,,437
93952,94109,唱和,贈詩、文,A,唐五代人交往詩索引,333,,437
93952,94227,唱和,贈詩、文,A,唐五代人交往詩索引,331,,437
93952,94595,唱和,贈詩、文,A,唐五代人交往詩索引,333,,437
93952,92047,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,101,,438
93952,94183,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,1416,,438
93952,146237,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,996,,438
94109,30851,唱和,贈詩、文,A,唐五代人交往詩索引,580,,437
94109,32174,唱和,贈詩、文,A,唐五代人交往詩索引,580,,437
94109,33566,唱和,贈詩、文,A,唐五代人交往詩索引,586,,437
94109,93103,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,757,,438
94109,93952,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,333,,438
94109,94271,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,1456,,438
94109,146237,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,998,,438
94160,94227,好友,友,M,人名權威資料（中央研究院歷史語言研究所）,18538,,9
94160,3332,唱和,贈詩、文,A,唐五代人交往詩索引,988,,437
94160,13575,唱和,贈詩、文,A,唐五代人交往詩索引,983,,437
94160,32227,唱和,贈詩、文,A,唐五代人交往詩索引,985,,437
94160,92047,唱和,贈詩、文,A,唐五代人交往詩索引,981,,437
94160,94227,唱和,贈詩、文,A,唐五代人交往詩索引,982,,437
94160,17029,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,23,,438
94160,33606,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,1300,,438
94160,94183,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,1419,,438
94183,3915,唱和,贈詩、文,A,唐五代人交往詩索引,1420,,437
94183,17029,唱和,贈詩、文,A,唐五代人交往詩索引,1413,,437
94183,19244,唱和,贈詩、文,A,唐五代人交往詩索引,1418,,437
94183,92047,唱和,贈詩、文,A,唐五代人交往詩索引,1414,,437
94183,93952,唱和,贈詩、文,A,唐五代人交往詩索引,1416,,437
94183,94160,唱和,贈詩、文,A,唐五代人交往詩索引,1419,,437
94183,94227,唱和,贈詩、文,A,唐五代人交往詩索引,1415,,437
94183,94595,唱和,贈詩、文,A,唐五代人交往詩索引,1416,,437
94227,3332,師生,為Y之學生,A,人名權威資料（中央研究院歷史語言研究所）,18538,,22
94227,92047,唱和,贈詩、文,A,唐五代人交往詩索引,202,,437
94227,3332,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,1042,,438
94227,13575,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,277,,438
94227,17029,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,20,,438
94227,93832,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,1481,,438
