source,target,type,subtype,direction,source_text,source_pages,year,assoc_code
30192,28022,唱和,為Y之詩文作跋,A,元人傳記資料索引,1755,,469
30192,69011,唱和,為Y之行狀作跋,A,明人傳記資料索引,5501,0,523
30239,30713,師生,學生為Y,P,人名權威資料（中央研究院歷史語言研究所）,9436,,23
30239,30240,唱和,為Y作墓誌銘,A,,,1641,44
30239,30240,唱和,為Y作墓誌銘,A,明人傳記資料索引,6537,0,44
30239,127987,唱和,為Y作墓誌銘,A,明人傳記資料索引,2329,0,44
30239,30240,唱和,為Y作畫贊(畫像記),A,明人傳記資料索引,6537,0,428
30239,35063,唱和,答Y書,A,牧齋外集二十五卷,卷22,,431
30239,30713,唱和,收到Y的答書,P,南雷文案10卷外1卷吾悔集4卷撰杖集1卷劉子行狀2卷,卷4,,432
30239,127987,唱和,贈詩、文,A,明人傳記資料索引,2329,0,437
30239,131951,唱和,贈詩、文,A,明人傳記資料索引,7559,0,437
30239,34747,唱和,為Y作學記（書院記）,A,明人傳記資料索引,7686,0,459
